vinH,vrmH,noOfAxlesH,systemNumberH,odometerReadingH,testEndTimestampH,testStartTimestampH,testStationPNumberH ,testerEmailAddressH,vehicleCodeH,vehicleDescH,vehicleTypeH
A00029200,J1E5E37,2,20000001,898674,2018-01-04T12:16:07.000000Z,2018-01-04T11:59:21.000000Z,P50419,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00036995,G0A1F50,2,20000002,322037,2018-09-10T15:38:36.000000Z,2018-09-10T15:26:55.000000Z,P50429,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00051848,A3E1B73,2,20000003,298098,2019-07-31T09:31:00.000000Z,2019-07-31T09:14:25.000000Z,P50739,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00107967,G2F2B21,2,20000004,539422,2019-06-26T15:02:42.000000Z,2019-06-26T14:48:32.000000Z,P50823,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00117855,C1C0H25,4,20000005,288,2018-05-04T11:39:30.000000Z,2018-05-04T11:11:24.000000Z,P50452,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00153949,I1D7A73,2,20000006,701269,2018-01-23T13:56:45.000000Z,2018-01-23T13:46:12.000000Z,P50269,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00201513,I4C9D18,2,20000007,105246,2018-12-20T09:39:40.000000Z,2018-12-20T09:31:24.000000Z,P50630,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00208646,D5C9A66,2,20000008,504072,2018-10-09T08:35:25.000000Z,2018-10-09T08:25:52.000000Z,P50366,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00220459,H4A4C36,2,20000009,156684,2018-05-03T12:30:09.000000Z,2018-05-03T12:19:49.000000Z,P50447,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00261377,I4E0B38,3,20000010,241077,2018-02-08T09:04:03.000000Z,2018-02-08T08:51:09.000000Z,P50694,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00308636,D1I2C27,3,20000011,947639,2017-11-02T14:00:43.000000Z,2017-11-02T13:48:10.000000Z,P50387,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00308636,E3E9H54,3,20000012,28254,2018-10-31T14:57:38.000000Z,2018-10-31T14:40:32.000000Z,P50387,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00311410,C6H4D01,2,20000013,172925,2018-09-25T12:53:02.000000Z,2018-09-25T12:41:52.000000Z,P50673,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00322876,A0F3H44,2,20000014,461576,2019-01-31T09:43:33.000000Z,2019-01-31T09:26:28.000000Z,P50533,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00323394,B2D6B28,2,20000015,132111,2019-08-08T09:59:19.000000Z,2019-08-08T09:49:34.000000Z,P50730,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00359787,A9E7I45,2,20000016,18618,2018-11-21T12:41:31.000000Z,2018-11-21T12:30:25.000000Z,P50657,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00403547,C0B8H45,2,20000017,80546,2018-12-18T08:14:56.000000Z,2018-12-18T08:04:03.000000Z,P50676,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00405105,I8A0A49,2,20000018,875181,2018-05-01T08:49:12.000000Z,2018-05-01T08:35:17.000000Z,P50580,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00424379,H5B3E23,2,20000019,433789,2018-05-24T00:00:00.000000Z,2018-05-24T00:00:00.000000Z,P50362,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00424379,H5B3E23,2,20000020,439644,2019-05-29T11:39:52.000000Z,2019-05-29T11:25:24.000000Z,P50362,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00434328,E1A6H03,2,20000021,20099,2017-10-13T09:51:05.000000Z,2017-10-13T09:43:03.000000Z,P50587,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00461923,E3H5A95,2,20000022,361846,2018-03-06T08:16:56.000000Z,2018-03-06T07:59:01.000000Z,P50731,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00481127,B5H3B11,3,20000023,649794,2019-02-07T13:20:30.000000Z,2019-02-07T12:49:31.000000Z,P50452,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00483059,I3A0D48,2,20000024,927879,2018-04-23T15:40:46.000000Z,2018-04-23T15:24:32.000000Z,P50429,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00483059,I3A0D48,2,20000025,928877,2019-04-15T14:50:42.000000Z,2019-04-15T14:33:48.000000Z,P50697,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00500617,A8I0D43,4,20000026,348263,2018-03-05T11:23:20.000000Z,2018-03-05T11:19:51.000000Z,P50499,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00527238,D3A4A49,2,20000027,494473,2018-03-27T13:17:40.000000Z,2018-03-27T13:07:45.000000Z,P50489,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00527238,D3A4A49,2,20000028,494671,2019-03-28T15:10:50.000000Z,2019-03-28T14:53:55.000000Z,P50489,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00577089,G5F2A25,2,20000029,74228,2018-06-20T11:08:53.000000Z,2018-06-20T10:56:12.000000Z,P50582,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00625941,D8A8D42,2,20000030,121015,2017-12-05T09:04:05.000000Z,2017-12-05T08:49:37.000000Z,P50823,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00626590,E7H7C37,2,20000031,185723,2018-02-26T10:04:44.000000Z,2018-02-26T09:53:50.000000Z,P50657,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00638931,F5A1I07,2,20000032,389328,2019-08-14T10:37:22.000000Z,2019-08-14T10:22:25.000000Z,P50836,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00655470,A3J4F84,2,20000033,112174,2018-03-08T12:54:37.000000Z,2018-03-08T12:34:16.000000Z,P50822,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00703864,D4A0D71,2,20000034,196405,2018-01-30T15:18:55.000000Z,2018-01-30T14:54:15.000000Z,P50702,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00703864,D4A0D71,2,20000035,398709,2019-04-17T15:22:22.000000Z,2019-04-17T15:19:22.000000Z,P50776,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00709203,B0F1B33,2,20000036,312383,2018-04-27T12:54:50.000000Z,2018-04-27T12:43:02.000000Z,P50830,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00726115,E9G8E20,2,20000037,159237,2019-05-17T13:23:30.000000Z,2019-05-17T13:21:55.000000Z,P50402,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00782583,A1B4E77,2,20000038,5817,2019-02-21T13:29:57.000000Z,2019-02-21T13:15:34.000000Z,P50694,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00785115,D4A6E35,2,20000039,930816,2019-03-08T11:58:56.000000Z,2019-03-08T11:38:41.000000Z,P50588,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00801108,F3C5A60,2,20000040,123957,2018-06-06T13:11:19.000000Z,2018-06-06T12:59:21.000000Z,P50831,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00809870,F6A8D01,2,20000041,2020,2018-01-29T12:15:27.000000Z,2018-01-29T12:08:30.000000Z,P50429,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00841617,A2B7D32,2,20000042,235374,2019-09-04T13:22:12.000000Z,2019-09-04T12:59:53.000000Z,P50747,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
A00847995,F0A4I12,2,20000043,589231,2018-02-07T14:17:36.000000Z,2018-02-07T14:02:58.000000Z,P50821,cvs_migrated_tester@dvsa.gov.uk,v,heavy goods vehicle,hgv
