vin,vrm,noOfAxles,numberOfSeats,odometerReading ,testEndTimestamp ,testStartTimestamp,testStationPNumber,testerEmailAddress,vehicleCode,vehicleDesc,vehicleSize,vehicleType
A00095082,B2F1D98,2,86,23211,2017-10-18T11:46:10.000000Z,2017-10-18T11:23:12.000000Z,P50387,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A00217331,E9A3F43,2,46,16676,2017-05-25T11:27:37.000000Z,2017-05-25T10:36:21.000000Z,P50632,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A00403268,E1A5F42,2,27,93779,2018-11-13T13:37:29.000000Z,2018-11-13T12:46:28.000000Z,P10301,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A00403684,D6B2A59,2,73,152684,2018-07-20T14:56:42.000000Z,2018-07-20T13:52:19.000000Z,P10260,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A01540792,E6J5A82,2,35,25448,2018-02-21T10:09:13.000000Z,2018-02-21T09:19:33.000000Z,P50782,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A01670140,I9F5J47,2,62,124411,2019-02-25T08:58:39.000000Z,2019-02-25T08:01:39.000000Z,P10255,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A01671577,J0H1F52,2,41,228578,2017-06-06T13:13:30.000000Z,2017-06-06T12:06:56.000000Z,P50519,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A01671914,C4A5C06,2,41,119675,2017-06-23T13:15:28.000000Z,2017-06-23T12:28:58.000000Z,P50284,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02143479,C8C2D00,2,66,248921,2018-02-28T10:20:24.000000Z,2018-02-28T09:15:30.000000Z,P10289,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02146239,F9B0F27,2,74,114216,2017-08-25T11:54:00.000000Z,2017-08-25T11:03:07.000000Z,P50549,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02149445,C0I0F34,2,75,221218,2018-07-20T08:05:48.000000Z,2018-07-20T07:18:02.000000Z,P10277,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02150210,C1D5E11,2,78,168757,2018-12-03T15:14:44.000000Z,2018-12-03T14:29:10.000000Z,P50333,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02150578,F3I5F45,2,60,24286,2018-10-18T08:45:46.000000Z,2018-10-18T08:00:04.000000Z,P10266,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02152960,F2F0I24,2,70,241174,2018-03-19T11:25:48.000000Z,2018-03-19T11:24:28.000000Z,P50659,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02153215,B7I1C45,2,30,225791,2019-02-07T09:25:46.000000Z,2019-02-07T08:39:50.000000Z,P10253,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02158691,F0B3A28,2,31,16870,2019-03-06T09:35:04.000000Z,2019-03-06T08:53:48.000000Z,P50382,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02158853,F4E9A98,2,43,124480,2019-02-15T10:53:13.000000Z,2019-02-15T10:13:21.000000Z,P50605,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02298931,G2G5I74,2,99,413816,2018-07-06T08:48:37.000000Z,2018-07-06T07:54:56.000000Z,P10319,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02557843,F9B7C25,2,33,328310,2018-03-20T12:05:39.000000Z,2018-03-20T11:20:25.000000Z,P50612,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02558128,J6I1C00,2,33,337397,2017-10-06T14:56:18.000000Z,2017-10-06T14:09:09.000000Z,P50472,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02558199,A2I4E50,2,33,502537,2019-02-05T11:29:35.000000Z,2019-02-05T10:50:21.000000Z,P50572,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02583033,C7A1E58,2,16,13700,2018-06-21T10:44:15.000000Z,2018-06-21T09:58:02.000000Z,P50315,cvs_migrated_tester@dvsa.gov.uk,s,small psv (ie: less than or equal to 22 seats),small,psv
A02592947,I5H7F91,2,16,50708,2017-10-30T11:12:34.000000Z,2017-10-30T10:17:10.000000Z,P50792,cvs_migrated_tester@dvsa.gov.uk,s,small psv (ie: less than or equal to 22 seats),small,psv
A02594554,B9E1I57,2,19,77151,2017-07-24T15:16:06.000000Z,2017-07-24T14:14:47.000000Z,P50429,cvs_migrated_tester@dvsa.gov.uk,s,small psv (ie: less than or equal to 22 seats),small,psv
A02595216,C6E1E66,2,16,102321,2017-05-11T12:39:46.000000Z,2017-05-11T11:59:30.000000Z,P50674,cvs_migrated_tester@dvsa.gov.uk,s,small psv (ie: less than or equal to 22 seats),small,psv
A02739645,E4E2E80,2,40,749368,2017-12-13T09:14:16.000000Z,2017-12-13T08:33:20.000000Z,P50565,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02739645,E4E2E80,2,40,810025,2018-12-05T14:03:16.000000Z,2018-12-05T13:17:33.000000Z,P50801,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02740120,E2J1C31,2,25,516087,2018-10-05T00:00:00.000000Z,2018-10-05T00:00:00.000000Z,P50694,cvs_migrated_tester@dvsa.gov.uk,1,large psv(ie: greater than 23 seats),large,psv
A02747101,D5A1H02,2,16,345166,2017-12-31T10:02:56.000000Z,2017-12-30T09:49:48.000000Z,P50822,cvs_migrated_tester@dvsa.gov.uk,s,small psv (ie: less than or equal to 22 seats),small,psv
A02747635,A7F0J02,2,16,188765,2018-10-11T13:58:14.000000Z,2018-10-11T13:21:23.000000Z,P50333,cvs_migrated_tester@dvsa.gov.uk,s,small psv (ie: less than or equal to 22 seats),small,psv
A02749235,B3E4C75,2,15,42357,2017-08-01T12:35:50.000000Z,2017-08-01T11:54:50.000000Z,P50607,cvs_migrated_tester@dvsa.gov.uk,s,small psv (ie: less than or equal to 22 seats),small,psv
