vinT,noOfAxlesT,systemNumberT,testEndTimestampT ,testStartTimestampT,testStationPNumberT,testerEmailAddressT,trailerId,vehicleCodeT,vehicleDescriptionT,vehicleTypeT
A00023681,1,30000001,2019-03-15T10:14:02.000Z,2019-03-15T09:57:29.000Z,P50734,cvs_migrated_tester@dvsa.gov.uk,B429481,t,trailer,trl
A00043695,1,30000002,2018-09-06T09:37:44.000Z,2018-09-06T08:57:46.000Z,P50509,cvs_migrated_tester@dvsa.gov.uk,B429185,t,trailer,trl
A00067948,1,30000003,2018-06-26T14:37:12.000Z,2018-06-26T14:11:54.000Z,P50284,cvs_migrated_tester@dvsa.gov.uk,B434650,t,trailer,trl
A00123994,1,30000004,2019-08-08T14:43:02.000Z,2019-08-08T14:12:17.000Z,P50847,cvs_migrated_tester@dvsa.gov.uk,B425173,t,trailer,trl
A00166875,1,30000005,2018-11-01T12:56:33.000Z,2018-11-01T12:18:56.000Z,P50450,cvs_migrated_tester@dvsa.gov.uk,B424692,t,trailer,trl
A00226302,1,30000006,2018-10-17T14:51:04.000Z,2018-10-17T13:56:09.000Z,P50480,cvs_migrated_tester@dvsa.gov.uk,B426960,t,trailer,trl
A00226302,1,30000007,2018-11-01T14:58:36.000Z,2018-11-01T14:38:38.000Z,P50480,cvs_migrated_tester@dvsa.gov.uk,B426960,t,trailer,trl
A00251774,1,30000008,2019-05-10T15:43:53.000Z,2019-05-10T15:28:49.000Z,P50847,cvs_migrated_tester@dvsa.gov.uk,B413253,t,trailer,trl
A00304786,1,30000009,2018-02-02T09:48:29.000Z,2018-02-02T09:31:28.000Z,P50374,cvs_migrated_tester@dvsa.gov.uk,B425739,t,trailer,trl
A00309653,1,30000010,2017-11-22T14:25:03.000Z,2017-11-22T14:09:34.000Z,P50320,cvs_migrated_tester@dvsa.gov.uk,B437779,t,trailer,trl
A00328364,1,30000011,2018-07-11T15:37:50.000Z,2018-07-11T15:23:47.000Z,P50756,cvs_migrated_tester@dvsa.gov.uk,B429638,t,trailer,trl
A00456683,1,30000012,2018-05-31T12:50:58.000Z,2018-05-31T12:25:28.000Z,P50598,cvs_migrated_tester@dvsa.gov.uk,B427703,t,trailer,trl
A00576745,1,30000013,2019-06-03T15:03:21.000Z,2019-06-03T14:55:46.000Z,P50635,cvs_migrated_tester@dvsa.gov.uk,B426299,t,trailer,trl
A00647252,1,30000014,2018-10-23T12:06:35.000Z,2018-10-23T11:45:53.000Z,P50641,cvs_migrated_tester@dvsa.gov.uk,B434391,t,trailer,trl
A00845818,1,30000015,2017-11-29T10:48:20.000Z,2017-11-29T10:25:20.000Z,P50344,cvs_migrated_tester@dvsa.gov.uk,B425404,t,trailer,trl
A00858375,1,30000016,2017-10-24T10:34:22.000Z,2017-10-24T10:21:48.000Z,P50494,cvs_migrated_tester@dvsa.gov.uk,B424033,t,trailer,trl
